referenceName	featureName	startNT	endNT
REF_Proto_MASTER_CPV	whole_genome	1	5323
REF_Proto_MASTER_CPV	5UTR	1	130
REF_Proto_MASTER_CPV	NS	130	465
REF_Proto_MASTER_CPV	VP	466	969
REF_Proto_MVM1	whole_genome	1	5149
REF_Proto_MVM1	NS	114	2279
REF_Proto_MVM1	VP	2399	4555
REF_Proto_PPV	whole_genome	1	5075
REF_Proto_PPV	NS	292	2280
REF_Proto_PPV	VP	2388	4547
REF_Proto_MpBuV	NS	63	1982
REF_Proto_MpBuV	VP	2247	4403
REF_Amdo_MASTER_AMDV	whole_genome	1	4801
REF_Amdo_MASTER_AMDV	NS	206	1978
REF_Amdo_MASTER_AMDV	VP	2406	4349
REF_Boca_MASTER_BPV	whole_genome	1	5517
REF_Boca_MASTER_BPV	NS	740	2920
REF_Boca_MASTER_BPV	M	2661	3302
REF_Boca_MASTER_BPV	VP	3286	5307
REF_Dependo_MASTER_AAV2	whole_genome	1	4679
REF_Dependo_MASTER_AAV2	NS	321	2252
REF_Dependo_MASTER_AAV2	VP	2203	4410
REF_Dependo_AAV3	NS	318	2192
REF_Dependo_AAV3	VP	2209	4419
REF_Dependo_AAV4	whole_genome	1	4767
REF_Dependo_AAV4	NS	372	2243
REF_Dependo_AAV4	VP	2260	4464
REF_Dependo_AAV5	NS	359	2191
REF_Dependo_AAV5	VP	2207	4381
REF_Dependo_AAV6	NS	320	2191
REF_Dependo_AAV6	VP	2208	4418
REF_Dependo_AAV7	NS	334	2205
REF_Dependo_AAV7	VP	2222	4435
REF_Dependo_AAV8	NS	227	2104
REF_Dependo_AAV8	VP	2121	4337
REF_Dependo_AAV9	NS	228	2099
REF_Dependo_AAV9	VP	2116	4329
REF_Dependo_AAV10	NS	1	1869
REF_Dependo_AAV10	VP	1886	4102
REF_Dependo_AAV11	NS	1	1869
REF_Dependo_AAV11	VP	1886	4087
REF_Dependo_AAV12	NS	103	1968
REF_Dependo_AAV12	VP	1985	4213
REF_Dependo_SnakePV	NS	324	2012
REF_Dependo_SnakePV	VP	2030	4210
REF_Dependo_CAV	NS	347	2179
REF_Dependo_CAV	VP	2195	4375
REF_Dependo_GPV	NS	537	2420
REF_Dependo_GPV	VP	2439	4637
REF_Dependo_MDPV	NS	548	2431
REF_Dependo_MDPV	VP	2450	4648
REF_Erythro_MASTER_B19	whole_genome	1	5596
REF_Erythro_MASTER_B19	NS	616	2631
REF_Erythro_MASTER_B19	VP	2624	4969
REF_Erythro_Chipmunk-PV	whole_genome	1	5097
REF_Erythro_Chipmunk-PV	NS	198	2333
REF_Erythro_Chipmunk-PV	VP	2511	5000
REF_Proto_HamsterPV	whole_genome	1	4773
REF_Proto_HamsterPV	NS	122	2140
REF_Proto_HamsterPV	VP	2664	4427
REF_Chappa_Mk-PV	whole_genome	1	4442
REF_Chappa_Mk-PV	NS2-P	2110	2727
REF_Chappa_Mk-PV	NS	811	2790
REF_Chappa_Mk-PV	NS2-L	2006	2725
REF_Chappa_Mk-PV	VP	2783	4273
REF_Hepandenso_MASTER_FCDNV	whole_genome	1	6085
REF_Hepandenso_MASTER_FCDNV	NS1	62	1345
REF_Hepandenso_MASTER_FCDNV	NS2	1330	3066
REF_Hepandenso_MASTER_FCDNV	CP	3493	4800
REF_Dependo_AAV1	whole_genome	1	4718
REF_Dependo_AAV1	NS	335	2206
REF_Dependo_AAV1	VP	2223	4433
REF_Proto_Zsana	whole_genome	1	4281
REF_Proto_Zsana	NS	1	1833
REF_Proto_Zsana	M	1883	2272
REF_Proto_Zsana	VP	2668	4281
REF_Dependo_BdrPV	whole_genome	1	4590
REF_Dependo_BdrPV	AAP	2594	3127
REF_Dependo_BdrPV	NS	386	2083
REF_Dependo_BdrPV	VP	2101	4278
REF_Ave_MASTER_ChPV	whole_genome	1	5257
REF_Ave_MASTER_ChPV	NS	411	2495
REF_Ave_MASTER_ChPV	VP	2998	5025
REF_Tetra_MASTER_EhBtPV1	whole_genome	1	5065
REF_Tetra_MASTER_EhBtPV1	NS	174	2252
REF_Tetra_MASTER_EhBtPV1	VP	2279	5038
