sequenceID	locus_name	locus_numeric_id	stem	host_species	host_class	host_superorder	host_order	host_family	host_genus	organism	target_datatype	target_version	target_name	scaffold	orientation	extract_start	extract_end	assigned_gene	subject_start	subject_end	query_start	query_end	align_len	bitscore	identity	evalue_num	evalue_exp	gap_openings	mismatches	locus_structure	sequence_length	virus_genus
dependo.0-Macropus_eugenii	dependo.0-macropus	0	dependo.0	Macropus_eugenii	Mammalia	Unclassified	Diprotodontia	Macropodidae	Macropus	Macropus_eugenii	low_coverage	goldenpath_macEug2	macEug2.fa	GL067164	+	37319	41248	translated-genome	804	1276	2500	3918	473	991	100	0	1	0	0	NS[dependo.0-macropus(+)]-NS[dependo.0-macropus(+)]-VP[dependo.0-macropus(+)]	3930	Dependoparvovirus
dependo.1-Sousa_chinensis	dependo.1-whippomorpha	1	dependo.1	Sousa_chinensis	Mammalia	Laurasiatheria	Cetacea	Delphinidae	Sousa	Sousa_chinensis	low_coverage	ASM352133v1	GCA_003521335.1_ASM352133v1_genomic.fna	QWLN01044866.1	-	228872	232544	translated-genome	779	1205	2294	3673	460	724	81.739	0	1	4	0	VP[dependo.1-whippomorpha(-)]-Rep78[dependo.XX-Inia(-)]	3673	Dependoparvovirus
dependo.1-Lipotes_vexillifer	dependo.1-whippomorpha	1	dependo.1	Lipotes_vexillifer	Mammalia	Laurasiatheria	Cetacea	Lipotidae	Lipotes	Lipotes_vexillifer	low_coverage	ncbi_100_2014-04-27	118797_ref_Lipotes_vexillifer_v1_chrUn.fa	gi|599249724|ref|NW_006783413.1|	+	1818784	1822987	translated-genome	779	1205	2765	4204	480	691	77.083	0	1	5	0	Rep78[dependo.XX-Inia(+)]-NS[dependo.1-whippomorpha(+)]-VP[dependo.1-whippomorpha(+)]-VP[dependo.1-whippomorpha(+)]	4204	Dependoparvovirus
dependo.1-Balaenoptera_acutorostrata	dependo.1-whippomorpha	1	dependo.1	Balaenoptera_acutorostrata	Mammalia	Laurasiatheria	Cetacea	Balaenopteridae	Balaenoptera	Balaenoptera_acutorostrata	low_coverage	goldenpath_balAcu1	balAcu1.fa	KI538555	+	2062510	2066364	translated-genome	601	1032	1970	3271	446	691	79.372	0	1	7	0	NS[dependo.1-whippomorpha(+)]-VP[dependo.1-whippomorpha(+)]	3855	Dependoparvovirus
dependo.1-Megaptera_novaeangliae	dependo.1-whippomorpha	1	dependo.1	Megaptera_novaeangliae	Mammalia	Laurasiatheria	Cetacea	Balaenopteridae	Megaptera	Megaptera_novaeangliae	low_coverage	megNov1	GCA_004329385.1_megNov1_genomic.fna	RYZJ01002354.1	+	2659500	2663375	translated-genome	601	1032	1985	3292	444	689	85.811	0	1	5	0	NS[dependo.1-whippomorpha(+)]-VP[dependo.1-whippomorpha(+)]	3876	Dependoparvovirus
dependo.1-Platanista_minor	dependo.1-whippomorpha	1	dependo.1	Platanista_minor	Mammalia	Laurasiatheria	Cetacea	Platanistidae	Platanista	Platanista_minor	low_coverage	PlaMin_v1_BIUU	GCA_004363435.1_PlaMin_v1_BIUU_genomic.fna	RJWK010029324.1	+	11110	14904	translated-genome	513	1032	1646	3214	545	661	66.239	0	1	9	0	NS[dependo.1-whippomorpha(+)]-VP[dependo.1-whippomorpha(+)]-VP[dependo.1-whippomorpha(+)]	3795	Dependoparvovirus
dependo.1-Balaenoptera_bonaerensis	dependo.1-whippomorpha	1	dependo.1	Balaenoptera_bonaerensis	Mammalia	Laurasiatheria	Cetacea	Balaenopteridae	Balaenoptera	Balaenoptera_bonaerensis	low_coverage	ASM97880v1	GCA_000978805.1_ASM97880v1_genomic.fna	DF417164.1	+	13355	17208	translated-genome	601	1032	1966	3270	448	655	76.339	0	1	8	0	NS[dependo.1-whippomorpha(+)]-VP[dependo.1-whippomorpha(+)]	3854	Dependoparvovirus
dependo.1-Kogia_breviceps	dependo.1-whippomorpha	1	dependo.1	Kogia_breviceps	Mammalia	Laurasiatheria	Cetacea	Physeteridae	Kogia	Kogia_breviceps	low_coverage	v1_BIUU	GCA_004363705.1_KogBre_v1_BIUU_genomic.fna	RJWL010008168.1	-	26677	30493	translated-genome	513	977	1661	3076	478	607	68.828	0	1	7	0	VP[dependo.1-whippomorpha(-)]-VP[dependo.1-whippomorpha(-)]-VP[dependo.1-whippomorpha(-)]-NS[dependo.1-whippomorpha(-)]	3817	Dependoparvovirus
dependo.1-Eschrichtius_robustus	dependo.1-whippomorpha	1	dependo.1	Eschrichtius_robustus	Mammalia	Laurasiatheria	Cetacea	Eschrichtiidae	Eschrichtius	Eschrichtius_robustus	low_coverage	ASM218922v1	GCA_002189225.1_ASM218922v1_genomic.fna	NIPP01000049.1	+	530460	534318	translated-genome	779	1032	2512	3276	255	528	98.039	0	1	1	0	NS[dependo.1-whippomorpha(+)]-VP[dependo.1-whippomorpha(+)]	3859	Dependoparvovirus
dependo.1-Physeter_catodon	dependo.1-whippomorpha	1	dependo.1	Physeter_catodon	Mammalia	Laurasiatheria	Cetacea	Physeteridae	Physeter	Physeter_catodon	low_coverage	2.0.2	9755_ref_Physeter_macrocephalus-2.0.2_chrUn.fa	gi|589812348|ref|NW_006724242.1|	+	675501	679319	translated-genome	623	977	1992	3077	367	483	73.297	0	1	6	0	NS[dependo.1-whippomorpha(+)]-VP[dependo.1-whippomorpha(+)]	3819	Dependoparvovirus
dependo.1-Delphinapterus_leucas	dependo.1-whippomorpha	1	dependo.1	Delphinapterus_leucas	Mammalia	Laurasiatheria	Cetacea	Monodontidae	Delphinapterus	Delphinapterus_leucas	low_coverage	ASM228892v2	GCF_002288925.1_ASM228892v2_genomic.fna	NW_019160921.1	-	9149141	9153246	translated-genome	779	1013	2606	3313	236	476	94.915	0	1	1	0	VP[dependo.1-whippomorpha(-)]-VP[dependo.1-whippomorpha(-)]-NS[dependo.1-whippomorpha(-)]-Rep78[dependo.XX-Inia(-)]	4106	Dependoparvovirus
dependo.1-Ziphius_cavirostris	dependo.1-whippomorpha	1	dependo.1	Ziphius_cavirostris	Mammalia	Laurasiatheria	Cetacea	Ziphiidae	Ziphius	Ziphius_cavirostris	low_coverage	ZipCav_v1_BIUU	GCA_004364475.1_ZipCav_v1_BIUU_genomic.fna	RJWS010040757.1	+	4474	8537	translated-genome	779	1013	2526	3233	236	473	94.068	0	1	1	0	NS[dependo.1-whippomorpha(+)]-VP[dependo.1-whippomorpha(+)]-VP[dependo.1-whippomorpha(+)]	4064	Dependoparvovirus
dependo.1-Monodon_monoceros	dependo.1-whippomorpha	1	dependo.1	Monodon_monoceros	Mammalia	Laurasiatheria	Cetacea	Monodontidae	Monodon	Monodon_monoceros	low_coverage	NGI_Narwhal_1	GCA_005190385.2_NGI_Narwhal_1_genomic.fna	SIHG01006968.1	+	77665785	77669894	translated-genome	779	1013	2607	3314	236	472	93.644	0	1	1	0	Rep78[dependo.XX-Inia(+)]-NS[dependo.1-whippomorpha(+)]-VP[dependo.1-whippomorpha(+)]-VP[dependo.1-whippomorpha(+)]	4110	Dependoparvovirus
